,title,price
0,FUJIFILM INSTAX MINI 9 แถมฟรีอัลบั้ม+กรอบรูป รับประกันศูนย์,"฿1,689.00"
1,Fujifilm instax mini Evo (Film Camera) [กล้องฟิล์ม] - ประกันศูนย์,"฿7,590.00"
2,Fujifilm Instax Mini 9 กล้องโพลารอยด์ Instant Film Camera ประกันศูนย์ 1 ปี กล้องอินสแตนท์ กล้องฟิล์ม,"฿1,690.00"
3,Fujifilm instax mini 11 (Instant Film Camera) [กล้องฟิล์ม] - ประกันศูนย์,"฿2,290.00"
4,Kodak M35 แท้100% กล้องฟิล์มโกดักM35 Kodak Film Camera M35 แถมแบตเตอรี่ สายคล้องมือ สติ๊กเกอร์ เปลี่ยนฟิล์มได้ สีเหลือง เขียวมิ้น ม่วง ชมพู แดง MASINA,฿790.00
5,กล้องฟิล์ม 35มม. กล้องทอย TRL DIY - LOMO DIY Dual Lens Reflex Camera Retro Classic,฿358.00
6,กล้องโพลาลอยด์ Instax mini9 กล้องอินสแตนท์ประกันศูนย์ฟูจิฟิล์มไทยแลน์ 1 ปี ( ถ่ายปุ๊ป รูปออกมาปั๊ป )(instant camera กล้องฟิล์ม),"฿1,590.00"
7,FUJIFILM instax mini 9,"฿1,690.00"
8,Tomy Printoss เครื่องพิมพ์ภาพถ่ายโพลารอยด์จากมือถือ ไม่ต้องใช้แบตเตอรี่ สั่งพิมพ์แล้วได้ทันที,฿239.00
9,กล้องโพลาลอยด์ Instax mini9 แถมฟรีฟิล์มโพลารอยด์ 10 รูป กล้องอินสแตนท์ประกันศูนย์ฟูจิฟิล์มไทยแลน์ 1 ปี  ( ภ่ายปุ๊ป ปริ้นรูปครับ ) instax,"฿1,990.00"
10,FUJIFILM INSTAX MINI 9 แถมฟรีFilm pack10*1pack+อัลบั้ม+กรอบรูป รับประกันศูนย์,"฿1,899.00"
11,FUJIFILM INSTAX MINI 40 Instant Film Camera *แถมฟรีFilm 1Pack+ กรอบรูป+อัลบั้มใส่รูป120รูป* รับประกันศูนย์1ปี,"฿3,390.00"
12,*ส่งฟรี*ฟิล์มโพลารอยด์ Mini Fuji Instax film แพค10รูป x10กล่อง(100 รูป)*ของแท้100%*Lotใหม่หมดอายุ10/2023*,"฿2,199.00"
13,Fujifilm Instax Mini Link Smartphone Printer เครื่องพิมพ์สมาร์ทโฟน แถมฟิล์ม 40 แผ่น ( แท้100% รับประกันศูนย์ไทย 1 ปี ),"฿5,180.00"
14,Fuji Instax Mini9 ประกันศูนย์,"฿1,750.00"
15,กล้องโพลาลอยด์ Instax mini9 กล้องอินสแตนท์ ( เจ้าของเดี๋ยวกับร้าน ohmshop_p สอบถามที่ร้านได้เลยครับ ) ประกันศูนย์ฟูจิฟิล์มไทยแลน์ 1 ปี ส่งด่วนทัก,"฿1,690.00"
16,FUJIFILM Instax SQUARE SQ6 Taylor Swift,"฿6,990.00"
17,INSTAX Link Wide Smartphone Printer (กล้องอินสแตนท์),"฿5,790.00"
18,Fujifilm instax SQUARE SQ1 (Film Camera) [กล้องฟิล์ม] - ประกันศูนย์,"฿4,290.00"
19,Instax Mini 40 (กล้องอินสแตนท์),"฿3,590.00"
20,กล้องดิจิตอล Lecran FHD 1080P กล้องบล็อก 36 ล้านพิกเซลพร้อมจอ LCD ดิจิตอลซูม 16 เท่า,"฿1,799.00"
21,FUJIFILM INSTAX MINI9 แถมฟรีFilm pack10*1pack รับประกันศูนย์,"฿1,858.00"
22,【เมนูภาษาไทย】กล้องดิจิตอลซูมดิจิตอล Full HD 4K 16x กล้อง HD กล้องดิจิตอลซูมระดับมืออาชี กล้องถ่ายรูปกับวิดีโอบล็อกที่ความ,"฿2,788.00"
23,【เมนูภาษาไทย】กล้องดิจิตอล48MP ให้การ์ดหน่วยความจำ 32GB หน้าจอ 3.0 นิ้ว ความคมชัด 18 ล้านพิกเซล ความละเอียด 4K มีระบบกันสั่น,"฿2,788.00"
24,Printoss (Kiipix) เครื่องพิมพ์ภาพ Polaroid จากมือถือ ไม่ใช้แบต ไม่ต้องเชื่อมต่อใดๆ ***สามารถใช้ฟิล์มโพราลอยด์ของฟูจิได้,฿990.00
25,Fujifilm Instax Mini 9 Mickey Mouse Set โพลารอยด์ mini 9 เซ็ตสุดคุ้ม รับประกันศูนย์ไทย,"฿4,790.00"
26,กล้องPixtoss Instant รุ่นใหม่ล่าสุดจากประเทศญี่ปุ่น,"฿2,190.00"
27,กล้องดิจิตอล Lecran FHD 1080P กล้องบล็อก 36 ล้านพิกเซลพร้อมจอ LCD ดิจิตอลซูม 16 เท่า,"฿2,200.00"
28,กระเป๋ากล้อง Instax Mini11 พร้อมสายสะพายยาว,฿350.00
29,กล้องโพลาลอยด์ Instax mini9 แถมฟรีฟิล์มโพลารอยด์ 10 รูป กล้องอินสแตนท์ประกันศูนย์ฟูจิฟิล์มไทยแลน์ 1 ปี (ร้านเดียวกับ Ohmshop_p) instax,"฿1,890.00"
30,กล้องแอบถ่าย กล้องจิ๋วกระทัดรัด กล้องกันน้ำ กล้องติดหมวกกันน๊อค SQ11 Camera กล้องจิ๋ว กล้องบันทึก140°Car กล้องมินิ Mini Hidden Spy Camera กล้องติดหมวกกันน็อค Full HD Cam Video กล้องแอบถ่าย Recorder กล้องติดรถยนต์ มีอินฟราเรด คมชัด FPV with IR Night Vision,฿137.00
31,Fujifilm Instax Mini 9 กล้องฟิล์มอินสแตนท์ สินค้ารับประกันศูนย์ประเทศไทย BY Eastbourne Camera,"฿1,689.00"
32,Fujifilm INSTAX Mini LINK*แถมฟรีFilmpack10x1 Pack+ชุดกรอบรูป+อัลบั้ม120รูป-รับประกันศูนย์ 1 ปี,"฿3,790.00"
33,กล้องดิจิตอล Lecran FHD 1080P กล้องบล็อก 36 ล้านพิกเซลพร้อมจอ LCD ดิจิตอลซูม 16 เท่า,"฿1,799.00"
34,Fujifilm instax mini 11 Instant Film Camera ( กล้องโพลารอยด์ mini 11 รับประกันศูนย์ไทย 1 ปี ) แถมฟรี ฟิล์ม1กล่อง10ใบ,"฿2,690.00"
35,Lamb กล้องถ่ายใต้น้ำ กล้องแอ็คชั่นคาเมร่า กล้องดำน้ำ Cycling outdoor sports camera DV 2.0 inch screen camera,฿269.00
36,ส่งฟรี ทุกท้องที่ กล้อง Fuji film instax mini7s,"฿1,530.00"
37,กล้องฟิล์ม MEMO YAMA ใหม่แท้100% แบรนด์จากญี่ปุ่น แถมฟรี!!! สายกล้องคอ+แบตเตอรี่ สุดคุ้ม!! กล้องเปลี่ยนฟิล์มได้ ใช้ฟิล์ม35mm YAMA Film Camera Japan MASINA STUDIO,"฿1,190.00"
38,Fujifilm Instax mini film ขอบขาว [20 sheets] Film Photo Paper Snapshot Album Instant Print แผ่นแผ่นฟิล์มสีขาวรูปถ่าย Snapshot Album พิมพ์สำหรับ Fujifilm Instax Mini 7 S/8 /25/90 Outdoorfree ของแท้100% ฟิล์มโพลารอยด์ fujifilm instax mini film /polaroid,฿790.00
39,【แถมอุปกรณ์ครบชุด】กล้องดิจิตอล Lecran FHD 1080P กล้องบล็อก 36 ล้านพิกเซลพร้อมจอ LCD ดิจิตอลซูม 16 เท่า,"฿1,988.00"
40,Fujifilm กล้องอินสแตนท์ ถ่ายปุ๊ป ได้รูปปั๊ป รุ่น Instax mini 9 (สี Smoky White)   ขอแท้ ประกันศูนย์ 1 ปี,"฿1,990.00"
41,Fujifilm Instax mini 9 BNK48 Edition (ประกันศูนย์) กล้องโพลารอยด์ mini 9 BNK48 สุดลิมิเต็ด,"฿4,990.00"
42,กล้องอินสแตนท์  / instant camera CANON INSPIC CV-123A /Free Canon Paper ZP-2030(20 Sheet)รับประกันศูนย์ Canon 1 ปี Exclusive @ Lazada,"฿3,298.00"
43,ขาดูดกระจก กล้องติดรถ​ขายึดกล้องติดรถยนต์สูญญากาศ แบบหัวสไลด์​,฿70.00
44,Fujifilm instax mini 40 (Instant Film Camera) [กล้องฟิล์ม] - ประกันศูนย์,"฿3,590.00"
45,ขายกล้องฟิล์ม Minolta a7700i พร้อมแพลตล่างแท้ พร้อมเลนส์ 75-200mm F4.5,"฿3,400.00"
46,Kodak M35 M38 Camera - 35mm Roll Film Camera Point-and-shoot with Flash Reusable Film Camera Non Disposable,฿699.00
47,กล้องแอบถ่าย กล้องจิ๋วกระทัดรัด กล้องกันน้ำ กล้องติดหมวกกันน๊อค SQ11 Camera กล้องจิ๋ว กล้องบันทึก140°Car กล้องมินิ Mini Hidden Spy Camera กล้องติดหมวกกันน็อค Full HD Cam Video กล้องแอบถ่าย Recorder กล้องติดรถยนต์ มีอินฟราเรด คมชัด FPV with IR Night Vision,฿137.00
48,Printoss เครื่องพิมพ์ภาพถ่ายโพลารอยด์จากมือถือ ไม่ต้องใช้แบตเตอรี่ สั่งพิมพ์แล้วได้ทันที ใช้กับ film fuji mini instax,฿990.00
49,สายชาร์จกล้องหน้ารถ Car DVR Camera GPS miniUSB พร้อม  Port USB 2 ช่อง,฿99.00
50,กล้องถ่ายรูปKodak Mini Shot(Photo Printer),"฿4,990.00"
51,Kodak Mini 2 (Photo Printer),"฿3,890.00"
52,กล้อง Fuji instax mini11 แถมฟิล์ม,"฿2,500.00"
53,FUJI INSTAX MINI9 GIFTSET (กล้อง+ฟิล์ม+เคสใส หรือกระเป๋าหนัง),"฿2,140.00"
54,กันน้ำ LOMO เด็กกล้องฟิล์มกันน้ำใต้น้ำดำน้ำย้อนยุคกล้องจุดและยิงกับกรณีกันน้ำสำหรับเด็ก,฿159.00
55,Peripage A6 (เพอริเพจ เอ6) เครื่องปริ้นหมี เมนูภาษาไทย รองรับการปริ้นฉลาก App ขนส่ง,฿739.00
56,Giftset กล้อง instax mini9 (กล้องพร้อม ฟิลม กระเป๋า อัลบั้ม),"฿2,300.00"
57,กล้องฟิล์ม Fujifilm Instax Mini LiPlay ( stone white ) ของแท้ 100%,"฿10,590.00"
58,KODAK M38 Film Camera [กล้องเปลี่ยนฟิล์มได้],฿850.00
59,Fuji Instax mini11 Combo set,"฿2,850.00"
60,Durable Transparent Instant Camera Case Cover for Checky Instax Mini 8/8+/9,฿81.00
61,ฟิล์มใหม่ Kodak ColorPlus 200​ 1 ม้วน,฿299.00
62,กล้องฟิล์ม Kodak M35 กล้อง HOT ยอด HIT พร้อมจัดส่ง ‼,฿890.00
63,Fujifilm instax mini 70 Instant Film Camera กล้องโพลารอยด์ instax mini 70 ( รับประกันศูนย์ไทย 1 ปี ),"฿5,590.00"
64,กล้อง Fuji Instax mini40 ประกันศูนย์,"฿3,290.00"
65,กล้องดิจิตอล Lecran FHD 1080P 36.0 พร้อมจอ LCD 16 ตัว กล้องจิ๋วพกพาขนาดกะทัดรัด เหมาะสำหรับนักเรียน นักศึกษา วัยรุ่น เด็ก (สีชมพู),"฿1,799.00"
66,Fujifilm Instax Share SP-3 ฟรี ฟิล์ม Mini SQโดย GinkoTown,"฿4,330.00"
67,AgfaPhoto Reusable Photo Camera 35mm (Film Camera) [กล้องฟิล์ม],"฿1,390.00"
68,StarALL Digital Video Camera Full HD 1080P 16MP Recorder with Wide Angle Lens for YouTube Vlogging,฿748.00
69,Kodak M35 Camera - 35mm Roll Film Camera Point-and-shoot with Flash Reusable Film Camera Non Disposable + Kodak Color Plus 200 Film 36 Exposures,฿909.00
70,Kodak M38  กล้องถ่ายรูป เปลี่ยนฟิล์มได้ มีแฟลชในตัว + AAA 1 ก้อน Panasonic Alkaline Battery,฿929.00
71,กล้องฟิล์ม Holga 120FN สีดำ,฿990.00
72,สายชาร์จกล้องหน้ารถ Car DVR Camera GPS miniUSB พร้อม  Port USB 2 ช่อง,฿100.00
73,PIXTOSS INSTANT TOY CAMERA *แถมฟรี Film 1Pack+กรอบรูป+อัลบั้มใส่รูป120รูป รับประกันศูนย์1ปี,"฿2,289.00"
74,ขาย กล้องฟิล์ม Pentax MZ-M Serial 9477634,฿500.00
75,ขายกล้องฟิล์ม Pentax MZ-50 Body Only Serial 2391831,฿500.00
76,ขายกล้องฟิล์ม Minolta XG-E สุดยอดแห่งความ Classic ทนทาน ใช้ง่าย ถ่ายรูปสวย พร้อมเลนส์ 50mm F1.7,"฿4,600.00"
77,Fuji Simple Ace 400  กล้องใช้แล้วทิ้ง หมดอายุปี06/22,฿988.00
78,Pixtoss INSTANT TOY CAMERA ประกันศูนย์ไทย 1ปี,"฿2,190.00"
79,ขายกล้องฟิล์ม Canon EOS Kiss serial 9009037 Body Only,"฿2,200.00"
80,ขายกล้องฟิล์ม Minolta a7000 serial 11153064 Body Only,"฿1,400.00"
81,ขายกล้องฟิล์ม Pentax Z-10 Body Only Serial 6117308 พร้อมเลนส์ Sigma 100-300mm,"฿4,800.00"
82,Fujifilm Instax Mini juice Instant Film Camera film-insurance center Mini Monitor WiFi camera wireless camera 1080P camera mini camera,฿199.00
83,FujiFilm Instax mini 11 ประกันศูนย์ไทย 1 ปี,"฿2,290.00"
84,ส่งฟรี ทุกท้องที่ film fuji c200 36 รูป,฿698.00
85,กล้องดิจิตอล Lecran FHD 1080P 36.0 พร้อมจอ LCD 16 ตัว กล้องจิ๋วพกพาขนาดกะทัดรัด เหมาะสำหรับนักเรียน นักศึกษา วัยรุ่น เด็ก (สีแดง),"฿1,799.00"
86,ขายกล้องฟิล์ม Pentax MZ-50 Body Only Serial 8198154,฿500.00
87,FUJIFILM INSTAX WIDE LINK (ปริ้นเตอร์โพลารอยด์),"฿5,690.00"
88,PIXTOSS INSTANT TOY CAMERA *แถมฟรี กรอบรูป+อัลบั้มใส่รูป120รูป รับประกันศูนย์1ปี,"฿2,098.00"
89,ขายกล้องฟิล์ม Canon EOS Kiss serial 0314086 Body Only กล้องฟิล์มสำหรับคนมีเลนส์ EF อยู่เเล้ว เอาไปใช้ได้เลยไม่ต้องหาเลนส์ใหม่,"฿2,200.00"
90,Adapterตัวแปลงไฟบ้าน 220Vเป็นไฟรถยนต์ 12V DC 220V to 12V,฿60.00
91,สายชาร์จในรถยนต์ สายชาร์จกล้องติดรถยนต์ 5 ยาว3เมตรmini USB,฿70.00
92,Fujifilm Instax share sp-2(Gold) 4.8,"฿4,330.00"
93,กล้องฟิล์ม Hello Kitty สีแดง 2Way แบรนด์ Sanrio,"฿1,150.00"
94,ส่งฟรี ทุกท้องที่ กล้องฟิล์ม Fuji film instax mini ฟิล์มโพลารอยด์ ฟิล์มโพลารอยด์ (ฟูจิแท้),฿746.00
95,ขายกล้องฟิล์ม Canon EOS Kiss serial 9009037 พร้อมเลนส์ Canon 80-200mm,"฿3,200.00"
96,ขายกล้องฟิล์ม Pentax Z-1 Body Only Serial 5897450,฿500.00
97,ขายกล้องฟิล์ม Minolta a7700i Serial 15303763 พร้อมเลนส์ Minolta 100-300mm,"฿4,200.00"
98,กล้องมินิ WiFi 360 องศา ภาพชัด2ล้าน กล้องแอบถ่ายP2P กล้องวงจรปิดจิ๋ว ไร้สาย,฿800.00
99,Kodak Agfa Fuji กล้องฟิล์ม เปลี่ยนฟิล์มได้ M35 M38 F9 / กล้องใช้แล้วทิ้ง Film Camera กล้อง ฟิล์ม โกดัก ฟูจิ 135 35 mm...,฿640.00
100,[กรุงเทพฯ ด่วน 1 ชั่วโมง] Fujifilm Instax Mini 9 กล้องโพลารอยด์ Instant Film Camera ประกันศูนย์ 1 ปี,"฿2,980.00"
101,Tomy Printoss เครื่องพิมพ์ภาพถ่ายโพลารอยด์จากมือถือ ไม่ต้องใช้แบตเตอรี่ สั่งพิมพ์แล้วได้ทันที,฿949.00
102,กล้องถ่ายรูป กล้องถ่ายภาพ กล้องฟิล์ม fuji กล้องอินสแตนท์ Instax Mini 7s กล้องโพลารอยด์ Polaroid 60mm f/12.7 Lens สีฟ้า ร้าน Red Shop,"฿1,721.00"
103,ขายกล้องฟิล์ม Pentax ME สุดยอดแห่งความ Classic ทนทาน ใช้ง่าย ถ่ายรูปสวย พร้อมเลนส์ 50mm F1.7 Serial 1353834,"฿5,700.00"
104,กล้อง Fuji instax SQ1 ประกันศูนย์1ปี,"฿3,390.00"
105,กล้องกระดุม  Wifi กล้องจิ๋ว กล้องแอบถ่าย กล้องซ่อน กล้องวงจรปิดไร้สาย  Mini camera,฿850.00
106,ขายกล้องฟิล์ม Pentax MZ-10 Serial  8315963 Body Only กล้องฟิล์มถูกๆ สำหรับคนอยากเริ่มถ่ายฟิล์ม,"฿2,900.00"
107,Kodak Agfa Fuji กล้องฟิล์ม เปลี่ยนฟิล์มได้ M35 M38 F9 / กล้องใช้แล้วทิ้ง Film Camera กล้อง ฟิล์ม โกดัก ฟูจิ 135 35 mm...,฿640.00
108,ขาย กล้องฟิล์ม Minolta A7000 Serial 13254927,฿500.00
109,ขายกล้องฟิล์ม Minolta Sweet A,฿500.00
110,ขายกล้องฟิล์ม Praktica Nova 1 (M42),"฿2,200.00"
111,ขาย กล้องฟิล์ม Minolta a7700i Serial 17253847,฿500.00
112,Printoss พิมพ์ภาพถ่ายโพลารอยด์จากมือถือ ไม่ต้องใช้แบตเตอรี่ สั่งพิมพ์แล้วได้ทันที (ไม่รวมฟิล์ม),฿990.00
113,ฟิล์ม Fuji C200 24 / 36 รูป 135 35mm Fujifilm ISO 200 ฟูจิ ฟิล์มสี กล้องฟิล์ม ฟิล์มกล้อง,฿618.00
114,กล้องฟิล์ม กันน้ำ 💦 กล้อง lomo housing กันน้ำ กล้องกันน้ำ กล้องฟิล์มน่ารัก กล้องป๊อกแป๊ก กล้องทอยกันน้ำ เที่ยวทะเล,฿488.00
115,ขายกล้องฟิล์ม Minolta a303si Body Only Serial 94619138,฿500.00
116,[กรุงเทพฯ ด่วน 1 ชั่วโมง] Fujifilm Instax Mini 9 กล้องโพลารอยด์ Instant Film Camera ประกันศูนย์ 1 ปี,"฿2,980.00"
117,Tomy Printoss เครื่องพิมพ์ภาพถ่ายโพลารอยด์จากมือถือ ไม่ต้องใช้แบตเตอรี่ สั่งพิมพ์แล้วได้ทันที,฿990.00
118,Fujifilm Instax Mini 40 Instant Film Camera กล้องฟิล์ม - ประกันศูนย์เเถมฟรี ฟิล์มขาว 1 กล่อง,"฿3,290.00"
119,ขายกล้องฟิล์ม Minolta a5xi serial 60302473 Body Only,฿900.00
120,✺พร้อมส่งกล้องฟิล์มใช้แล้วทิ้ง Kodak DayLight iso800รุ่น39ภาพรุ่น27ภาพ♜,฿697.00
121,Polaroid GO -White กล้องโพลารอยด์ที่เล็กที่สุดในโลก ประกันศูนย์ไทย,"฿5,190.00"
122,AgfaPhoto Analog 35mm Reusable - กล้องฟิล์ม  by CameraOutlet (สินค้ารับประกันศูนย์),"฿1,390.00"
123,ปลั๊กแปลงไฟบ้านเป็นไฟรถ 220V AC to 12V DC Car  Lighter Wall Power,฿60.00
124,ขายกล้องฟิล์ม Pentax Spotmatic สุดยอดแห่งความ Classic ทนทาน ใช้ง่าย ถ่ายรูปสวย พร้อมเลนส์ Takumar 55mm F1.8,"฿6,800.00"
125,กล้องโพลาลอยด์ Instax mini9 กล้องอินสแตนท์ Instax mini9 ประกันศูนย์ฟูจิฟิล์มไทยแลน์ 1 ปี ส่งด่วนทัก,"฿3,590.00"
126,กล้องดิจิตอล Lecran FHD 1080P กล้องบล็อก 36 ล้านพิกเซลพร้อมจอ LCD ดิจิตอลซูม 16 เท่า,"฿1,799.00"
127,ขายกล้องฟิล์ม Minolta a5xi serial 60302473 พร้อมเลนส์ Tokina 28-210m F3.5-5.6,"฿4,800.00"
128,กล้องโพลารอยด์ Fujifilm Instax Mini 9 หลากหลายสี กดถ่ายปุ๊ปได้รูปทันที! ขนาดกะทัดรัด มาพร้อมแฟลชและช่องมองภาพในตัว กล้อง fuji กล้องฟิล์ม กล้อง instax กล้อง polaroid กล้อง ฟูจิ กล้อง instax mini 9 กล้องโพลารอยด์ fujifilm instax mini 9 ราคาถูก ของแท้100%,"฿1,990.00"
129,ขาย กล้องฟิล์ม Minolta a303si Serial 94712451,฿500.00
130,ขายกล้องฟิล์ม Pentax Z-10 Body Only Serial 6117308,"฿2,500.00"
131,ขายกล้องฟิล์ม Minolta a7000 serial 13207356 สำหรับตั้งโชว์,฿490.00
132,✳ กล้องฟิล์ม ฟรีถ่าน พร้อมส่ง ของแท้ Vibe Photo 501F สีเงินแชมเปญ ใส่ฟิล์มอีกได้ ใช้ฟิล์ม 135 (ไม่ได้แถมฟิล์ม)♕,฿817.00
133,ขายกล้องฟิล์ม Minolta a7xi  Serial 21125679 พร้อมเลนส์ 28-200mm,"฿4,300.00"
